"","Area","Year","Savanna.fires","Forest.fires","Crop.Residues"
"1","Nepal",1990,26.7509,765.1546,438.39
"2","Nepal",1991,26.7509,765.1546,421.0097
"3","Nepal",1992,26.7509,765.1546,380.4003
"4","Nepal",1993,26.7509,765.1546,434.9504
"5","Nepal",1994,26.7509,765.1546,414.0922
"6","Nepal",1995,26.7509,765.1546,457.2003
"7","Nepal",1996,4.5732,368.516,474.902
"8","Nepal",1997,4.7661,255.0944,475.809
"9","Nepal",1998,6.9396,430.7716,476.1566
"10","Nepal",1999,24.1074,557.8179,491.1041
"11","Nepal",2000,6.5477,444.6595,515.6802
"12","Nepal",2001,16.4623,518.7597,512.569
"13","Nepal",2002,3.8277,116.4599,523.1118
"14","Nepal",2003,24.1634,893.2978,531.7339
"15","Nepal",2004,29.1569,732.1142,550.1914
"16","Nepal",2005,30.5362,771.9294,551.8477
"17","Nepal",2006,12.9003,449.3356,548.8306
"18","Nepal",2007,11.1596,302.8795,528.6172
"19","Nepal",2008,26.2947,633.723,570.7107
"20","Nepal",2009,40.0158,912.8309,572.9372
"21","Nepal",2010,32.2861,1103.2991,558.0959
"22","Nepal",2011,12.1228,646.4916,597.8764
"23","Nepal",2012,25.3863,1122.3928,637.1092
"24","Nepal",2013,25.6825,1178.8744,589.6287
"25","Nepal",2014,41.6006,1124.8323,640.6156
"26","Nepal",2015,6.1768,159.1177,622.0496
"27","Nepal",2016,103.8041,2799.9361,586.3734
"28","Nepal",2017,17.3822,687.8514,651.6143
"29","Nepal",2018,29.1187,476.529,658.8025
"30","Nepal",2019,51.5126,1537.0363,684.6271
"31","Nepal",2020,12.5715,236.8314,697.5884
"32","United States of America",1990,1391.1481,1999.5617,19193.1314
"33","United States of America",1991,1391.1481,1999.5617,17574.1126
"34","United States of America",1992,1391.1481,1999.5617,20964.8025
"35","United States of America",1993,1391.1481,1999.5617,16761.5327
"36","United States of America",1994,1391.1481,1999.5617,21370.6468
"37","United States of America",1995,1391.1481,1999.5617,17800.1615
"38","United States of America",1996,1694.8841,3286.2536,20507.4875
"39","United States of America",1997,757.1947,1553.0516,21112.9227
"40","United States of America",1998,1225.4008,3099.349,21686.8186
"41","United States of America",1999,1288.5873,3578.5759,20870.3254
"42","United States of America",2000,1385.9744,3687.677,21221.4989
"43","United States of America",2001,497.1015,534.9642,20442.3218
"44","United States of America",2002,1111.7842,1475.6013,18976.1724
"45","United States of America",2003,1188.3672,1224.2156,21084.5303
"46","United States of America",2004,1672.1608,1201.6707,23324.6504
"47","United States of America",2005,2406.4668,915.3977,22274.5808
"48","United States of America",2006,1749.7266,1086.7729,21149.1663
"49","United States of America",2007,1970.7496,1558.7559,23547.3911
"50","United States of America",2008,1160.9667,2068.4252,23926.2791
"51","United States of America",2009,1332.1128,1093.5759,24815.3832
"52","United States of America",2010,741.2273,912.6399,24102.152
"53","United States of America",2011,2200.3468,1330.2757,22949.6934
"54","United States of America",2012,1616.5661,1173.5953,22132.1804
"55","United States of America",2013,813.4448,1284.547,25374.1695
"56","United States of America",2014,946.473,1336.9865,26451.8114
"57","United States of America",2015,1521.927,2235.1868,26054.2178
"58","United States of America",2016,1214.1887,1438.7519,29390.7271
"59","United States of America",2017,1749.8832,2664.9144,26788.5264
"60","United States of America",2018,1540.0409,2457.9409,26846.6988
"61","United States of America",2019,988.5763,1190.9796,24747.3192
"62","United States of America",2020,2031.3179,5405.3003,26151.6287
